PtID,East,North,Height
TE33_01,10.000765844571617,53.564714308986836,0
TE33_02,10.003275866953757,53.566722326892553,0
TE33_03,10.003777871430186,53.571575036831355,0
TE33_04,10.003108532128282,53.575256402991826,0
TE33_05,10.000765844571617,53.57877043432682,0
TE33_06,10.002439192826378,53.578435764675866,0
TE33_07,10.004949215208518,53.575256402991826,0
TE33_08,10.006957233114228,53.572077041307779,0
TE33_09,10.008965251019941,53.569567018925639,0
TE33_10,10.011977277878508,53.568228340321831,0
TE33_11,10.01398529578422,53.566220322416122,0
TE33_12,10.013315956482316,53.563040960732081,0
TE33_13,10.008630581368989,53.560028933873511,0
TE33_14,10.000933179397094,53.558188250793272,0
TE33_15,9.998255822189478,53.559024924920656,0
TE33_16,9.998925161491382,53.562204286604697,0
TE33_17,10.000765844571617,53.564714308986836,0